Panel ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62
22295,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,2,2,2,2,2,2,2,4,4,4,3,4,3,2,4,2,4,3,4,4,2,3,3,4,3,2,3,2,3,3,2,4
22296,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,6,6,5,8,4,6,8,6,4,3,7,3,5,8,5,5,5,4,4,4,4,5,4,4,4,5,5,4,4,4,4,5,4,5,5,5,4,3,4
22297,1,2,2,1,2,1,1,1,2,2,1,2,2,1,1,2,2,1,2,2,1,6,2,3,8,2,4,8,5,3,3,5,3,3,7,5,8,7,3,5,5,2,3,4,5,4,4,4,5,4,4,5,5,5,2,3,4,4,3,4
22298,1,1,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,5,5,5,6,5,6,9,7,7,9,7,1,1,9,5,5,5,1,3,2,2,4,2,4,5,2,4,3,3,3,3,3,3,3,1,5,4,1,5
22299,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,8,8,8,7,5,7,9,6,6,8,6,4,6,9,7,7,7,3,3,3,4,4,3,4,4,3,3,4,3,3,4,4,4,4,3,3,3,3,4
22300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,8,7,8,8,6,8,9,7,7,8,7,4,7,8,9,8,8,4,2,2,2,5,4,4,4,5,4,5,2,2,4,4,4,2,4,5,4,4,4
22301,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,3,5,5,4,7,7,3,3,3,3,3,3,3,8,8,8,4,2,2,3,5,4,5,3,5,5,2,5,2,5,3,3,2,3,5,4,2,5
22302,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,8,7,8,3,6,9,5,7,5,7,2,5,8,7,7,7,3,4,3,1,4,2,4,3,4,3,3,3,4,4,4,4,1,2,4,2,2,3
22303,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,6,6,4,6,2,6,7,7,8,6,8,6,8,8,10,10,10,5,2,2,5,5,4,5,5,5,2,3,3,2,5,4,2,4,3,4,3,2,3
22304,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,1,2,2,1,5,4,4,8,3,3,9,5,6,8,8,1,4,8,8,8,8,2,5,1,1,4,1,5,3,4,3,4,1,4,5,5,4,3,3,2,1,1,3
22305,1,1,2,1,2,2,1,1,1,2,1,2,2,1,1,2,2,1,2,2,1,10,8,7,9,9,10,8,8,6,4,8,9,9,10,8,8,8,2,5,5,4,5,2,3,5,2,3,4,4,4,4,4,4,2,2,4,4,4,5
22306,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,4,3,2,4,2,4,4,7,7,7,5,1,1,2,4,4,5,1,5,5,3,3,1,5,3,1,2,4,2,1,4,2
22307,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,1,5,5,3,5,5,3,7,6,7,6,6,7,7,7,5,5,5,5,3,4,3,3,2,5,3,4,3,3,3,3,4,3,5,3,3,4,3,3,3
22308,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,6,5,4,6,4,4,6,6,6,6,7,3,4,7,5,5,5,3,4,4,2,3,3,4,4,4,3,3,4,4,4,3,4,2,4,4,3,2,4
22309,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,2,2,1,3,3,5,6,3,3,8,3,3,2,3,1,3,9,5,7,7,3,4,5,3,5,5,5,5,4,4,5,4,4,5,5,4,4,4,4,4,2,5
22310,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,6,6,6,6,6,6,6,2,2,2,2,2,2,2,6,6,6,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,1,4
22311,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,3,6,3,6,3,3,8,3,6,3,6,3,3,6,5,5,5,4,2,2,2,4,4,4,4,3,4,3,4,3,4,4,2,2,3,3,2,1,3
22312,1,2,1,1,2,1,1,2,2,2,1,2,2,2,1,1,1,1,2,1,1,5,5,4,5,3,3,7,6,6,6,6,3,5,8,5,7,6,3,1,1,2,4,3,5,4,4,2,3,2,3,5,4,3,2,2,3,2,2,2
22313,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,1,3,2,3,3,1,3,1,3,2,3,3,5,5,5,1,5,5,1,1,1,5,3,5,3,3,3,5,5,5,5,1,1,3,3,3,3
